@relation 'alcowatch_features-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F2-S3-weka.filters.unsupervised.attribute.Remove-R2-8,10,15-17,19-24,36-37,41-43,45,49-53,58'

@attribute numSteps numeric
@attribute bandpower numeric
@attribute totalHarmonicDistortion numeric
@attribute xzSwayArea numeric
@attribute xySwayArea numeric
@attribute yzSwayArea numeric
@attribute distYForward numeric
@attribute rollVelVarianceForward numeric
@attribute rollVelMedianBackward numeric
@attribute rollVelVarianceBackward numeric
@attribute pitchVelMedianForward numeric
@attribute pitchVelVarianceForward numeric
@attribute pitchVelMedianBackward numeric
@attribute pitchVelVarianceBackward numeric
@attribute yawVelMedianForward numeric
@attribute yawVelVarianceForward numeric
@attribute yawVelMedianBackward numeric
@attribute yawVelVarianceBackward numeric
@attribute pitchForward numeric
@attribute pitchBackward numeric
@attribute yawForward numeric
@attribute xVelMedianBackward numeric
@attribute yVelMedianForward numeric
@attribute yVelVarianceForward numeric
@attribute yVelMedianBackward numeric
@attribute height numeric
@attribute weight numeric
@attribute age numeric
@attribute gender {0,1,2}
@attribute class {no_goggles_green_goggles,black_goggles_red_goggles_orange_goggles}

@data
11,25.640703,-8.706844,4.917462,1.56041,0.962247,-0.927186,0.334044,0.501953,0.288035,0.033045,0.00579,-0.226043,0.052161,-0.066606,0.283289,-0.690734,0.586566,0.022421,-0.045011,0.049897,-0.300123,-0.952813,0.018371,0.566243,190,150,18,1,no_goggles_green_goggles
7,16.548135,-15.975191,3.322067,0.89259,0.668486,-0.707546,0.207885,0.626504,0.40887,0.052637,0.003988,-0.19211,0.032469,0.228747,0.27687,-0.659096,0.345545,0.02701,-0.051757,0.101011,-0.267968,-0.703768,0.003352,0.599593,190,150,18,1,no_goggles_green_goggles
13,36.896351,-8.166589,1.71715,1.554125,0.808893,0.007559,0,?,?,0.046336,0,?,?,0.007196,0,?,?,0.119641,?,0.01858,-0.4405,0.02416,0.012762,0.304503,182,230,20,1,no_goggles_green_goggles
13,19.678578,-3.277918,2.654296,2.285204,1.07653,0.029237,0.021252,0.208227,0.039729,-0.02124,0.103218,0.44272,0.18413,0.020796,0.108397,0.399196,0.206207,0.004609,0.028676,0.020512,-0.234155,0.064166,0.008895,0.151253,182,230,20,1,no_goggles_green_goggles
12,14.481975,2.631546,2.756079,2.042681,1.214812,0.021078,0.015294,-0.112793,0.185745,-0.175878,0.132703,-0.032179,0.168256,-0.153115,0.19025,-0.011842,0.250893,-0.057358,0.022835,-0.035836,-0.159231,0.055311,0.012309,-0.157261,182,230,20,1,no_goggles_green_goggles
11,36.600155,-12.459576,2.527893,1.736569,1.223019,0.060736,0.070817,0.29578,0.166852,-0.190494,0.096714,0.403483,0.081409,-0.133277,0.131062,0.355197,0.055841,-0.060553,0.058108,-0.039784,-0.442112,0.050899,0.038809,0.115734,182,230,20,1,no_goggles_green_goggles
10,34.28895,-6.256871,3.408451,2.608804,0.857555,0.01901,0.047728,0.356588,0.121166,-0.021861,0.082001,0.398589,0.16654,0.015595,0.149935,0.368299,0.156212,-0.017588,0.036977,0.005569,-0.207386,0.02151,0.006351,0.300071,182,230,20,1,no_goggles_green_goggles
16,31.464265,-12.610895,3.056881,2.455097,0.785049,-0,0.459992,0.02703,0.643952,-0.107419,0.011147,0.054755,0.080937,-0.063266,0.003022,-0.05279,0.042699,-0.000034,0.000007,-0.000013,-0.000575,-0.000024,0,0.000411,182,230,20,1,no_goggles_green_goggles
11,29.120728,-4.136286,4.130947,3.194015,1.981646,-0.012423,0,-1.51535,0,-0.069568,0,-0.344354,0,-0.002454,0,0.187062,0,-0.182274,-0.575243,-0.00643,-0.266722,-0.015086,0.075793,0.205394,182,230,20,1,no_goggles_green_goggles
15,33.982581,-9.116244,3.883364,2.483402,0.905075,-0.045975,0.110488,0.043169,0.079139,-0.0788,0.137648,0.076853,0.070981,0.047362,0.219556,0.063285,0.2116,-0.011955,0.015019,-0.005634,-0.496145,-0.09687,0.003465,0.372171,182,230,20,1,no_goggles_green_goggles
13,15.827034,-8.64781,30.397562,10.010131,22.818457,-0.008826,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.16775,-0.009387,0.005103,0.152906,182,230,20,1,no_goggles_green_goggles
13,17.229961,-10.32105,3.120137,1.757683,1.224272,0,0.014026,-0.043993,0.012891,0.108447,0.116635,0.006,0.151107,0.210527,0.474954,-0.147254,0.488028,-0.000009,-0.000005,-0.000029,-0.00022,-0,0,0.000216,182,230,20,1,no_goggles_green_goggles
11,21.083915,-5.699921,1.590663,1.213019,0.693047,0.014572,0.026757,-0.129729,0.045319,0.013037,0.070768,-0.1872,0.090047,0.021556,0.120895,-0.294186,0.244674,-0.000962,-0.021133,0.00542,-0.19373,0.033786,0.001603,0.266376,182,230,20,1,no_goggles_green_goggles
10,13.3988,0.413338,1.839539,1.195732,0.968518,-0.0087,0.034181,0.021753,0.04879,0.347143,0.04794,-0.022479,0.11347,0.492188,0.147753,-0.01601,0.2617,0.035177,-0.014527,0.039218,0.130867,-0.022447,0.005734,0.023989,182,230,20,1,no_goggles_green_goggles
10,17.139522,-9.780057,1.363529,0.765662,0.599391,0.023949,0.004733,-0.078979,0.026246,0.096034,0.073857,-0.169576,0.069322,0.161764,0.176744,-0.426286,0.254852,-0.025167,-0.001332,-0.022492,-0.203239,0.048838,0.004561,0.320692,182,230,20,1,no_goggles_green_goggles
10,16.267108,-2.397617,1.635862,0.965353,0.584792,0.065945,0.01968,-0.046606,0.031128,0.188356,0.070587,-0.017165,0.070432,0.422582,0.266595,-0.049713,0.284661,-0.002129,0.012945,-0.010198,-0.223266,0.119451,0.00322,0.196858,182,230,20,1,no_goggles_green_goggles
8,11.521371,-5.933387,1.527397,0.7525,0.588138,0.006402,0.010698,-0.089955,0.030778,-0.07422,0.050171,0.110503,0.041598,-0.141351,0.167352,0.271336,0.257107,-0.02057,0.017191,-0.024524,-0.040345,0.036519,0.001376,0.168593,182,230,20,1,no_goggles_green_goggles
